ID,latitude,longitude,location
243,41.9889025,-87.7047952,2501
244,40.713335,-73.9416744,861
245,-23.42969533,-46.78209262,209
246,33.45605387,-111.858644,843
247,34.30929279,-118.7168943,2333
248,45.54782264,9.357026461,93036
249,40.76178846,-74.00454998,46
250,40.81328861,-73.85947947,861
251,42.14272304,-87.77918236,2501
252,39.95149705,-75.18176079,13556
253,48.869319,2.332279,74683
254,48.8707448,2.337723,74683
255,49.00473757,2.462571462,74683
256,39.95354,-75.198416,13556
257,41.9777734,-87.90611744,2501
258,39.96260911,-75.24535719,13556
259,40.85121557,-73.95206451,46
260,48.871769,2.373041,74683
261,40.77573478,-73.87824394,861
262,41.9777734,-87.90611744,2501
263,-23.4732953,-46.6505958,209
264,48.881003,2.297594,74683
265,45.45843,9.203092,93036
266,48.88067707,2.35553741,74683
267,-23.57271961,-46.69655085,209
268,39.82962714,-75.04379572,13556
269,41.89737914,12.61859912,2226
270,39.9540045,-75.229997,13556
271,-23.541263,-46.7193137,209
272,40.09034303,-75.04356265,13556
273,33.654248,-112.117663,843
274,42.02974831,12.70444187,2226
275,40.77090326,-74.09100605,861
276,39.969054,-75.134318,13556
277,33.67539664,-112.1503146,843
278,34.14535632,-118.1681612,2333
279,48.74247783,2.194469757,74683
280,48.86525116,2.33086109,74683
281,45.4536472,9.1622611,93036
282,33.63081,-111.92723,843
283,41.871777,12.533417,2226
284,40.12664319,-75.17957395,13556
285,34.1546587,-118.1597139,2333
286,41.8219303,12.4083955,2226
287,39.9433731,-75.1568688,13556
288,40.7417382,-73.997539,46
289,40.77872162,-73.96888733,46
290,39.938895,-75.164,13556
291,33.71576546,-112.04689,843
292,33.59177816,-118.39436,2333
293,40.54502756,-74.07691108,861
294,40.86979458,-74.05091039,861
295,33.98384151,-118.2609029,2333
296,33.43841383,-111.9861231,843
297,-23.44974635,-46.80288603,209
298,-23.62577072,-46.66112423,209
299,40.52461117,-73.63986526,11543
300,40.85121557,-73.95206451,46
301,34.13978473,-118.3688242,2333
302,-23.43989613,-46.78504799,209
303,48.98042142,2.158140424,74683
304,41.97994239,12.29260028,2226
305,33.978575,-118.2184436,2333
306,40.70275167,-73.97448045,11543
307,40.7777911,-73.83865269,861
308,40.75094636,-73.65786868,11543
